chegada_anestesista,chegada_cirurgiao,entrada_paciente_sala,inicio_montagem,fim_montagem,inicio_desmontagem,fim_desmontagem,inicio_higienizacao,fim_higienizacao,retirada_paciente,horario_entrada_bloco,horario_liberacao,sala
2025-03-27 08:00:00,2025-03-27 08:18:00,2025-03-27 08:25:00,2025-03-27 08:36:00,2025-03-27 09:12:00,2025-03-27 10:17:00,2025-03-27 10:35:00,2025-03-27 10:42:00,2025-03-27 11:04:00,2025-03-27 11:18:00,2025-03-27 08:28:00,2025-03-27 12:07:00,4
2025-01-19 08:00:00,2025-01-19 08:10:00,2025-01-19 08:17:00,2025-01-19 08:27:00,2025-01-19 09:07:00,2025-01-19 10:07:00,2025-01-19 10:37:00,2025-01-19 10:44:00,2025-01-19 11:03:00,2025-01-19 11:11:00,2025-01-19 08:16:00,2025-01-19 11:47:00,8
2025-04-24 08:00:00,2025-04-24 08:26:00,2025-04-24 08:35:00,2025-04-24 08:47:00,2025-04-24 09:18:00,2025-04-24 10:32:00,2025-04-24 10:56:00,2025-04-24 11:07:00,2025-04-24 11:21:00,2025-04-24 11:33:00,2025-04-24 09:24:00,2025-04-24 12:25:00,9
2025-01-11 08:00:00,2025-01-11 08:25:00,2025-01-11 08:41:00,2025-01-11 09:01:00,2025-01-11 09:36:00,2025-01-11 10:42:00,2025-01-11 11:02:00,2025-01-11 11:10:00,2025-01-11 11:21:00,2025-01-11 11:27:00,2025-01-11 08:29:00,2025-01-11 12:20:00,12
2025-01-25 08:00:00,2025-01-25 08:28:00,2025-01-25 08:37:00,2025-01-25 08:51:00,2025-01-25 09:30:00,2025-01-25 10:36:00,2025-01-25 10:52:00,2025-01-25 11:05:00,2025-01-25 11:20:00,2025-01-25 11:32:00,2025-01-25 08:35:00,2025-01-25 12:25:00,17
2025-01-14 08:00:00,2025-01-14 08:19:00,2025-01-14 08:30:00,2025-01-14 08:55:00,2025-01-14 09:24:00,2025-01-14 10:33:00,2025-01-14 10:57:00,2025-01-14 11:05:00,2025-01-14 11:26:00,2025-01-14 11:32:00,2025-01-14 09:18:00,2025-01-14 12:17:00,7
2025-04-04 08:00:00,2025-04-04 08:25:00,2025-04-04 08:45:00,2025-04-04 08:57:00,2025-04-04 09:32:00,2025-04-04 10:38:00,2025-04-04 11:00:00,2025-04-04 11:13:00,2025-04-04 11:35:00,2025-04-04 11:43:00,2025-04-04 09:40:00,2025-04-04 12:28:00,1
2025-02-27 08:00:00,2025-02-27 08:20:00,2025-02-27 08:29:00,2025-02-27 08:43:00,2025-02-27 09:05:00,2025-02-27 10:16:00,2025-02-27 10:43:00,2025-02-27 10:49:00,2025-02-27 11:06:00,2025-02-27 11:18:00,2025-02-27 08:51:00,2025-02-27 12:04:00,4
2025-05-25 08:00:00,2025-05-25 08:18:00,2025-05-25 08:33:00,2025-05-25 08:59:00,2025-05-25 09:26:00,2025-05-25 10:39:00,2025-05-25 10:59:00,2025-05-25 11:06:00,2025-05-25 11:26:00,2025-05-25 11:40:00,2025-05-25 08:56:00,2025-05-25 12:27:00,6
2025-01-25 08:00:00,2025-01-25 08:13:00,2025-01-25 08:20:00,2025-01-25 08:32:00,2025-01-25 09:12:00,2025-01-25 10:14:00,2025-01-25 10:25:00,2025-01-25 10:37:00,2025-01-25 10:47:00,2025-01-25 11:02:00,2025-01-25 08:21:00,2025-01-25 11:33:00,14
2025-04-28 08:00:00,2025-04-28 08:22:00,2025-04-28 08:28:00,2025-04-28 08:40:00,2025-04-28 09:13:00,2025-04-28 10:32:00,2025-04-28 10:43:00,2025-04-28 10:49:00,2025-04-28 11:08:00,2025-04-28 11:22:00,2025-04-28 09:20:00,2025-04-28 11:57:00,9
2025-06-23 08:00:00,2025-06-23 08:14:00,2025-06-23 08:31:00,2025-06-23 09:01:00,2025-06-23 09:24:00,2025-06-23 10:36:00,2025-06-23 10:50:00,2025-06-23 10:55:00,2025-06-23 11:13:00,2025-06-23 11:21:00,2025-06-23 08:43:00,2025-06-23 12:12:00,1
2025-04-24 08:00:00,2025-04-24 08:26:00,2025-04-24 08:35:00,2025-04-24 08:47:00,2025-04-24 09:18:00,2025-04-24 10:32:00,2025-04-24 10:56:00,2025-04-24 11:07:00,2025-04-24 11:21:00,2025-04-24 11:33:00,2025-04-24 09:24:00,2025-04-24 12:25:00,16
2025-05-12 08:00:00,2025-05-12 08:21:00,2025-05-12 08:34:00,2025-05-12 08:47:00,2025-05-12 09:18:00,2025-05-12 10:30:00,2025-05-12 10:51:00,2025-05-12 10:59:00,2025-05-12 11:28:00,2025-05-12 11:43:00,2025-05-12 08:48:00,2025-05-12 12:36:00,6
2025-05-02 08:00:00,2025-05-02 08:25:00,2025-05-02 08:37:00,2025-05-02 08:54:00,2025-05-02 09:28:00,2025-05-02 10:30:00,2025-05-02 10:54:00,2025-05-02 11:00:00,2025-05-02 11:13:00,2025-05-02 11:27:00,2025-05-02 09:04:00,2025-05-02 12:09:00,2
